Profile Name,Start Day,Start Time,Duration,Attributes,Cleaned title,Title,Device Type,Bookmark,Latest Bookmark,Country,Genre 1,Genre 2,Genre 3,Weekday
Ashley,2020-08-17,12:42:00 AM,1,Autoplayed: user action: Unspecified; ,(Un)Well,(Un)Well: Season 1: Fasting (Episode 4),Samsung CE 2019 Muse-M RU8000 5.1 Smart TV,0:00:01,0:00:01,CA (Canada),Documentary,,,Monday
Ashley,2020-08-15,1:26:00 PM,9,,(Un)Well,(Un)Well: Season 1: Fasting (Episode 4),Samsung CE 2019 Muse-M RU8000 5.1 Smart TV,0:00:09,Not latest view,CA (Canada),Documentary,,,Saturday
Ashley,2020-05-17,2:58:00 AM,4,Autoplayed: user action: Unspecified; ,100 Humans,100 Humans: Season 1: What Makes Us Attractive? (Episode 1),Samsung CE 2019 Muse-M RU8000 5.1 Smart TV,0:00:04,0:00:04,CA (Canada),Reality-TV,,,Sunday
Vivian,2018-05-26,4:20:00 AM,9,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 1, Side A (Episode 1)",Sony Sony Android TV 2017 Smart TV,0:00:09,0:00:09,CA (Canada),Drama,Mystery,Thriller,Saturday
Ashley,2018-01-28,4:41:00 AM,932,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 7, Side A (Episode 13)",Chrome PC (Cadmium),0:57:56,0:57:56,CA (Canada),Drama,Mystery,Thriller,Sunday
Ashley,2018-01-28,3:07:00 AM,2526,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 7, Side A (Episode 13)",Chrome PC (Cadmium),0:42:24,Not latest view,CA (Canada),Drama,Mystery,Thriller,Sunday
Ashley,2018-01-28,1:41:00 AM,3565,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 6, Side B (Episode 12)",Chrome PC (Cadmium),0:59:31,0:59:31,CA (Canada),Drama,Mystery,Thriller,Sunday
Ashley,2018-01-28,12:45:00 AM,3123,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 6, Side A (Episode 11)",Chrome PC (Cadmium),0:52:21,0:52:21,CA (Canada),Drama,Mystery,Thriller,Sunday
Ashley,2018-01-27,11:53:00 PM,2849,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 5, Side B (Episode 10)",Chrome PC (Cadmium),0:47:44,0:47:44,CA (Canada),Drama,Mystery,Thriller,Saturday
Ashley,2018-01-27,11:22:00 PM,3,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 5, Side B (Episode 10)",Chrome PC (Cadmium),0:00:09,Not latest view,CA (Canada),Drama,Mystery,Thriller,Saturday
Ashley,2018-01-27,10:24:00 PM,3388,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 5, Side A (Episode 9)",Chrome PC (Cadmium),0:56:41,0:56:41,CA (Canada),Drama,Mystery,Thriller,Saturday
Ashley,2018-01-27,9:28:00 PM,3104,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 4, Side B (Episode 8)",Chrome PC (Cadmium),0:51:54,0:51:54,CA (Canada),Drama,Mystery,Thriller,Saturday
Ashley,2018-01-25,1:45:00 AM,3078,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 4, Side A (Episode 7)",Chrome PC (Cadmium),0:51:34,0:51:34,CA (Canada),Drama,Mystery,Thriller,Thursday
Ashley,2018-01-14,8:12:00 PM,3012,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 3, Side B (Episode 6)",Chrome PC (Cadmium),0:49:54,0:49:54,CA (Canada),Drama,Mystery,Thriller,Sunday
Ashley,2018-01-12,9:59:00 PM,3403,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 3, Side A (Episode 5)",Chrome PC (Cadmium),0:56:41,0:56:41,CA (Canada),Drama,Mystery,Thriller,Friday
Ashley,2018-01-10,3:56:00 AM,7,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 3, Side A (Episode 5)",Chrome PC (Cadmium),0:00:07,Not latest view,CA (Canada),Drama,Mystery,Thriller,Wednesday
Ashley,2018-01-09,11:12:00 PM,3332,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 2, Side B (Episode 4)",Chrome PC (Cadmium),0:55:09,0:55:09,CA (Canada),Drama,Mystery,Thriller,Tuesday
Ashley,2018-01-09,10:09:00 PM,3294,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 2, Side A (Episode 3)",Chrome PC (Cadmium),0:55:05,0:55:05,CA (Canada),Drama,Mystery,Thriller,Tuesday
Ashley,2018-01-08,11:43:00 PM,2992,,13 Reasons Why,"13 Reasons Why: Season 1: Tape 1, Side B (Episode 2)",Chrome PC (Cadmium),0:49:40,0:49:40,CA (Canada),Drama,Mystery,Thriller,Monday
